Names,Storage,Prices,Conditions,Cities,Areas
Laptop Dell Inspiron 15 7559 8GB Intel Core I7,HDD+SSD,3500,Used,Greater Accra,Accra Metropolitan
Laptop HP ProBook 430 8GB Intel Core I5,HDD,2400,Used,Greater Accra,Tema Metropolitan
Laptop Samsung Chromebook 3 11 4GB Intel,SSHD+SSD,650,Used,Greater Accra,Circle
Logitech Mouse,Wireless,120,Brand New,Greater Accra,Achimota
New Desktop Computer Gigabyte GB-BKi7T2-7500 64GB Intel Core I9,SSD,26000,Brand New,Greater Accra,Accra Metropolitan
Laptop HP Compaq 15 4GB Intel Core I5,HDD,1690,Used,Greater Accra,Achimota
Laptop Asus Zenbook 14 UX434 16GB Intel Core I7,SSD,8500,Used,Greater Accra,Spintex
1tb M2,Nmve,1100,Brand New,Ashanti,Kumasi Metropolitan
Laptop Apple MacBook Air 2014 4GB Intel Core I5,SSD,2600,Used,Greater Accra,Circle
Laptop HP EliteBook 840 G3 8GB Intel Core I7,SSD,2700,Unknown,Ashanti,Kumasi Metropolitan
256gb Vaseky NVME PCIE V900 Gen3 SSD Hard Drive,Disk,450,Brand New,Greater Accra,Adenta
Laptop Dell Vostro 15 3000 4GB Intel Core I3,HDD,1600,Used,Eastern Region,Fanteakwa
Laptop Lenovo ThinkPad T470 8GB Intel Core I5,SSD,3500,Used,Greater Accra,Tema Metropolitan
Laptop Dell Inspiron 15 8GB Intel Core I3,HDD,2200,Used,Greater Accra,Adabraka
Laptop Acer Aspire V5-572 4GB Intel Core I3,HDD,1700,Used,Central Region,Mfantsiman Municipal
Laptop Apple MacBook Air 8GB Intel Core I7,SSD,4000,Used,Greater Accra,Accra Metropolitan
Laptop Dell Latitude 5491 8GB Intel Core I7,SSD,4400,Used,Greater Accra,Madina
New Desktop Computer Gigabyte GB-BACE-3010 8GB AMD,Ryzen,15900,Brand New,Greater Accra,Accra Metropolitan
New Laptop Lenovo ThinkPad Yoga 8GB Intel Core M,SSD,3350,Brand New,Greater Accra,Madina
Laptop Dell Inspiron 17R 8GB Intel Core I5,HDD,2350,Used,Greater Accra,Pokuase
Laptop HP 250 G4 8GB Intel Core I5,SSD,2400,Used,Greater Accra,Ga West Municipal
New Desktop Computer 16GB Intel Core I5,HDD+SSD,14000,Brand New,Ashanti,Obuasi Municipal
Laptop Dell XPS 13 8GB Intel Core I7,SSD,4200,Used,Ashanti,Kumasi Metropolitan
Laptop HP ProBook 645 G4 8GB Intel Core I5,HDD,3900,Used,Ashanti,Kumasi Metropolitan
HP Color Laserjet Pro Multifunction M479fdw,Wireless,20000,Unknown,Ashanti,Kumasi Metropolitan
Logitech Chargeable,Wireless,75,Brand New,Greater Accra,Circle
New Laptop MSI 16GB AMD Ryzen 9,SSD,28800,Brand New,Greater Accra,East Legon
New Laptop Packard Bell EasyNote A8202 12GB AMD,HDD+SSD,2000,Brand New,Greater Accra,Circle
KAKA Original Backpack for School/ BOOKS/Laptop,From,330,Unknown,Greater Accra,Kokomlemle
Desktop Computer Lenovo ThinkCentre M93p 4GB Intel Core I5,SSD,1300,Used,Greater Accra,Kasoa
Laptop HP EliteBook 840 G6 16GB Intel Core I7,SSD,5900,Used,Greater Accra,Madina
New Laptop Microsoft Surface Laptop 2 8GB Intel Core I5,SSD,5200,Brand New,Ashanti,Kumasi Metropolitan
Samsung HARMAN KARDON PS-WR65B Soundbar,for,2950,Used,Greater Accra,Accra Metropolitan
Laptop Acer Nitro 5 16GB Intel Core I5,SSD,6350,Used,Greater Accra,Circle
Laptop Dell Latitude E5540 8GB Intel Core I5,HDD,1350,Used,Greater Accra,Pokuase
Type C 6 in,1,249,Brand New,Greater Accra,Accra Metropolitan
Universal 4G Pocket,Mifi,399,Unknown,Greater Accra,Circle
Ssd M.2 Laptop,Drive,400,Brand New,Greater Accra,Accra New Town
Waterproof Business Travel Laptop Backpack With,Charging,300,Unknown,Greater Accra,Spintex
Windows OS and Macbook OS Installation,and,50,Unknown,Greater Accra,Pokuase
Bluetooth 3.1 Home,Theatre,799,Brand New,Greater Accra,Adabraka
Laptop HP Pavilion 15 4GB Intel Core 2 Duo,HDD,1500,Used,Greater Accra,Circle
New Laptop HP 15 8GB Intel Core I7,SSD,9000,Brand New,Greater Accra,East Legon
Hp BP02XL Original,Laptop,350,Brand New,Western Region,Shama Ahanta East Metropolitan
Laptop HP 250 G5 4GB Intel Core I3,HDD,1900,Used,Greater Accra,Accra Metropolitan
Laptop HP EliteBook X360 1030 G7 16GB Intel Core I7,SSD,8700,Used,Greater Accra,Adenta
Dell Type-C 65,Watts,300,Brand New,Greater Accra,Accra New Town
Desktop Computer HP Z240 8GB Intel Core I7,HDD,2000,Used,Ashanti,Kumasi Metropolitan
Laptop Dell Latitude 5300 8GB Intel Core I5,SSD,3400,Used,Greater Accra,Tema Metropolitan
Dell Laptop Battery For Inspiron 3451 3551 3567,5551,250,Brand New,Greater Accra,Accra New Town
Laptop Acer Aspire 7720Z 2GB Intel Pentium,HDD,600,Used,Greater Accra,Tesano
Laptop Apple MacBook Pro 2012 8GB Intel Core I5,HDD,2100,Unknown,Ashanti,Kumasi Metropolitan
Laptop Dell Latitude 7290 8GB Intel Core I5,SSD,2700,Used,Greater Accra,Adenta
"3 in One Keyboard, Laptop Screen and",Body,70,Brand New,Greater Accra,Adenta
60watt Portable,Solar,750,Brand New,Central Region,Cape Coast Metropolitan
Laptop Dell XPS 13 9365 8GB Intel Core I5,SSD,5700,Used,Greater Accra,Kokomlemle
Desktop Computer Dell Inspiron One 2205 4GB Intel Core I3,HDD,1200,Used,Greater Accra,Adenta
Laptop Lenovo Thinkpad T490s 8GB Intel Core I7,SSD,4300,Used,Ashanti,Kumasi Metropolitan
Laptop Stand,With,300,Brand New,Greater Accra,Accra Metropolitan
Laptop HP ZBook 17 16GB Intel Core I7,HDD,3699,Used,Western Region,Shama Ahanta East Metropolitan
Original Laptop RAM,(16GB),500,Brand New,Greater Accra,Kokomlemle
1TB M.2,Nvme,1050,Brand New,Greater Accra,Madina
Dell 130w Charger Big Pin,19.5v,250,Used,Greater Accra,Circle
Laptop Apple MacBook Pro 2015 8GB Intel Core I5,SSD,4500,Used,Greater Accra,Kokomlemle
Dell Laptop Keyboard,E5450,200,Brand New,Greater Accra,Kokomlemle
New Laptop HP Envy 15 8GB Intel Core i5,SSD,10800,Brand New,Greater Accra,Dansoman
New Acer Aspire TC-605 8GB Intel Core I5,HDD+SSD,1100,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP 15 4GB AMD A6,HDD+SSD,1950,Used,Greater Accra,Lapaz
New Laptop HP Compaq NX6130 3GB Intel Pentium,HDD,550,Brand New,Greater Accra,Kokomlemle
New Desktop Computer Acer 16GB Intel Core I5,SSD,7300,Brand New,Greater Accra,Kokomlemle
Hard Drive,Unknown,150,Used,Greater Accra,Lapaz
Laptop HP EliteBook X360 1030 G3 8GB Intel Core I7,SSD,6500,Used,Ashanti,Kumasi Metropolitan
New Laptop Lenovo Legion 7 32GB Intel Core I9,SSD,35000,Brand New,Greater Accra,Kokomlemle
Laptop Dell Inspiron 15 4GB Intel Core I3,HDD,3000,Used,Ashanti,Kumasi Metropolitan
New Desktop Computer Asus ROG GT51CH 32GB Intel Core I9,SSD,13999,Brand New,Greater Accra,Akweteyman
N99 Powerful Laptop Cooler With,Speed,90,Brand New,Greater Accra,Ashaiman Municipal
Original Lenovo 45watt,USB-C,250,Used,Greater Accra,East Legon
New Desktop Computer MSI Gaming 24 6QE 4K 64GB Intel Core,I9,24100,Brand New,Greater Accra,Madina
Laptop Apple MacBook Pro 2011 6GB Intel Core I5,HDD,2400,Used,Greater Accra,Kokomlemle
1tb Micron M.2 Nvme,SSD,1059,Brand New,Central Region,Cape Coast Metropolitan
Nokia,3.1,270,Brand New,Greater Accra,Haatso
New Desktop Computer HP 290 G4 All-in-One 4GB Intel Core I3,HDD,6200,Brand New,Greater Accra,Achimota
Laptop Dell XPS 13 (9360) 8GB Intel Core I7,SSD,5000,Used,Greater Accra,Kokomlemle
Laptop Dell Inspiron 15 8GB Intel Core I7,HDD,2900,Used,Greater Accra,Airport Residential Area
Laptop HP ProBook 4545S 8GB AMD,HDD,1800,Used,Volta Region,Ho Municipal
New Desktop Computer 8GB AMD Ryzen 5,HDD,3550,Brand New,Western Region,Takoradi
Laptop Travel Backpack With Water,Bottle,200,Unknown,Greater Accra,Madina
Toshiba Satellite,C55-B,180,Brand New,Greater Accra,Circle
New Laptop Apple MacBook Pro 2022 M2 8GB Apple M2,SSD,17700,Brand New,Greater Accra,East Legon
Laptop Acer Aspire M3 6GB Intel Core I3,HDD,1300,Used,Greater Accra,Adenta
Toshiba 4TB EXTERNAL HDD Canvio Basics 2.5-Inch USB,3.0,1700,Brand New,Greater Accra,Abelemkpe
New Acer Laptop Battery for 4741 4750 4755G 4752,4771,200,Brand New,Greater Accra,Accra New Town
Desktop Computer Apple iMac Pro 24GB Intel Xeon SSHD,(Hybrid),5200,Used,Greater Accra,Dansoman
Original,Sony,89,Brand New,Greater Accra,East Legon
Laptop Dell Latitude 15 E5570 16GB Intel Core I7,SSD,5100,Used,Greater Accra,Accra Metropolitan
Laptop HP Pavilion 15 8GB Intel Core I7,SSD,2450,Used,Greater Accra,East Legon
New Laptop Lenovo 4GB Intel Celeron,HDD,3518,Brand New,Western Region,Tarkwa Nsuaem
Brand New,128gb,119,Brand New,Greater Accra,Tema Metropolitan
Laptop HP ProBook 450 G3 8GB Intel Core i3,HDD,2200,Used,Greater Accra,Sowutwuom
Laptop Dell Inspiron 15 3552 8GB Intel Pentium,HDD,1750,Used,Greater Accra,Adenta
Hp Wireless Keyboard,With,150,Brand New,Greater Accra,Circle
Quality Harman Kardon Onyx Studio 7,Bluetooth,3499,Brand New,Greater Accra,Adabraka
Multimedia Speaker,Unknown,280,Brand New,Greater Accra,Accra Metropolitan
Desktop Computer Fujitsu Esprimo D757/E94+ 4GB Intel Core I3,HDD,650,Used,Greater Accra,Achimota
256GB 2.5 SATA III 3D TLC Solid State Drive 3,Years,43210480,Brand New,Greater Accra,Adenta
New Laptop Dell G5 8GB Intel Core I5,SSD,8900,Brand New,Greater Accra,Dansoman
New Laptop HP EliteBook 840 G3 16GB Intel Core I5,HDD+SSD,3300,Brand New,Greater Accra,Circle
New Laptop HP Pavilion 15 8GB Intel Core I5,SSD,4500,Brand New,Greater Accra,Accra Metropolitan
Laptop Microsoft Surface Book 8GB Intel Core I5,SSD,6500,Used,Greater Accra,Accra Metropolitan
New Desktop Computer MSI Gaming 24GE 2QE 4K 64GB Intel Core,I9,20600,Brand New,Greater Accra,Spintex
New Laptop Lenovo 8GB Intel Core I3,HDD+SSD,2500,Brand New,Greater Accra,Ga West Municipal
Silver Phone Stand Available,as,99,Brand New,Greater Accra,Circle
New Laptop Dell Alienware X14 16GB Intel Core I7,SSD,18000,Brand New,Greater Accra,East Legon
New Laptop Asus TUF Gaming A15 16GB Intel Core I5,SSHD+SSD,7999,Brand New,Greater Accra,Accra Metropolitan
Powerful Samsung 430watt A650 Sound Bar,Usb,3499,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell Inspiron 14 5458 16GB Intel Core i7,SSD,5500,Used,Greater Accra,Ablekuma
American Express,Laptop,380,Unknown,Greater Accra,Circle
Desktop Computer Dell OptiPlex 3070 8GB Intel Core I5,SSD,2700,Used,Greater Accra,Dansoman
Laptop Dell Inspiron 15 8GB Intel Core I7,HDD,2850,Used,Greater Accra,Cantonments
Laptop Dell Inspiron 5548 4GB Intel Core I5,HDD,2000,Used,Western Region,Takoradi
New Laptop HP Spectre 16GB Intel Core i7,SSD,25000,Brand New,Greater Accra,Kokomlemle
HP JC04 Replacement Laptop Battery Pavilion 255 G6,250,200,Brand New,Greater Accra,Accra New Town
New Laptop HP Stream Notebook 8GB Intel Core I5,SSD,7838,Brand New,Western Region,Tarkwa Nsuaem
Omaya Shoulder,Bag,220,Unknown,Greater Accra,Tesano
Laptop HP ZBook Studio G5 32GB Intel Core i7,SSD,9900,Used,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 6930P 4GB Intel Core 2 Duo,HDD,950,Used,Greater Accra,Circle
Desktop Computer Apple iMac 8GB Intel Core I5,HDD+SSD,3500,Used,Greater Accra,Accra Metropolitan
Philips Smart,Android,2750,Unknown,Ashanti,Kumasi Metropolitan
New Laptop HP Pavilion 14-Ce1000 8GB Intel Core I5,HDD,3699,Brand New,Western Region,Shama Ahanta East Metropolitan
DELL,Complete,10000,Brand New,Greater Accra,Tema Metropolitan
Laptop HP ProBook 640 G1 4GB Intel Core I5,HDD,3000,Used,Greater Accra,Dansoman
New Desktop Computer MSI Model 32GB Intel Core I7,SSD,14200,Brand New,Greater Accra,Accra Metropolitan
"Baseus USB C Hub, at 60hz HDMI USB C",Docking,1000,Brand New,Greater Accra,East Legon
New Gigabyte GB-BKi5T2-7200 32GB Intel Core I7,HDD+SSD,15000,Brand New,Greater Accra,Accra Metropolitan
Laptop HP ProBook 450 G3 8GB Intel Core I7,SSD,2800,Used,Greater Accra,Adenta
Adjustable Laptop Metallic Stand,For,130,Brand New,Greater Accra,Circle
Laptop Dell Inspiron 5548 6GB Intel Core I7,HDD,1550,Used,Greater Accra,Achimota
Laptop Lenovo Thinkpad E15 8GB Intel Core I5,SSD,4000,Used,Greater Accra,Kwashieman
Brand New 8gb DDR4 Laptop Memory,From,260,Brand New,Greater Accra,Weija
Laptop HP 250 G7 8GB Intel Core I5,SSD,3399,Used,Central Region,Cape Coast Metropolitan
Desktop Computer Apple iMac Pro 32GB Intel Core I7,HDD+SSD,11999,Used,Greater Accra,Sowutwuom
HP,USB,130,Brand New,Greater Accra,Madina
KORG 01/Wfd,Unknown,1650,Used,Western Region,Takoradi
Laptop Dell Latitude 14 E5450 8GB Intel Core I5,HDD,2000,Used,Greater Accra,Kwashieman
Laptop HP ZBook 15 G3 16GB Intel Core I7,SSD,6000,Used,Greater Accra,Kokomlemle
Team,Group,810,Brand New,Greater Accra,Adabraka
New Laptop Dell Inspiron 15 8GB AMD Ryzen 5,SSD,8999,Brand New,Greater Accra,East Legon
New Laptop HP Envy 15 8GB Intel Core I5,SSD,8499,Brand New,Greater Accra,Lapaz
New Desktop Computer MSI Aegis 3 Plus 8th 64GB Intel Core I9,SSD,26000,Brand New,Greater Accra,Accra Metropolitan
New Laptop HP ProBook 440 G3 8GB Intel Core I5,SSD,2800,Brand New,Greater Accra,North Industrial Area
New Laptop Asus VivoBook W202 16GB Intel Core I9,SSD,22500,Brand New,Greater Accra,Kaneshie
New Laptop HP Pavilion 14 8GB Intel Core I5,SSD,9400,Brand New,Greater Accra,Spintex
Laptop HP EliteBook 755 4GB Intel Core I5,HDD,1000,Used,Ashanti,Kumasi Metropolitan
Laptop Lenovo ThinkPad Yoga 8GB Intel Core I7,SSD,335883650,Used,Greater Accra,Achimota
Laptop HP EliteBook 820 G3 8GB Intel Core I5,HDD,3500,Used,Greater Accra,Dansoman
Ugreen 3.5mm Male to 2 Female ABS Case,-,110,Brand New,Greater Accra,Accra Metropolitan
919700-850 Laptop Battery For HP,Spare,200,Brand New,Greater Accra,Circle
Laptop Bags,Unknown,450,Unknown,Greater Accra,Accra Metropolitan
Laptop Apple MacBook Pro 2015 16GB Intel Core I7,SSD,5500,Used,Greater Accra,Kokomlemle
Laptop Dell 16GB Intel Core I5,SSD,4900,Used,Ashanti,Kumasi Metropolitan
New Laptop Dell Inspiron 15 8GB Intel Core I5,SSD,7299,Brand New,Greater Accra,East Legon
"New Canvas Tote Bag (Large, Many Pockets,",3,150,Unknown,Greater Accra,East Legon
Laptop HP 15 8GB Intel Core I3,SSD,2600,Used,Greater Accra,Circle
New Desktop Computer Asus ROG G20CB 32GB Intel Core I7,HDD+SSD,11000,Brand New,Greater Accra,Accra Metropolitan
New Desktop Computer Gigabyte GB-BACE-3010 64GB Intel Core,I5,26200,Brand New,Greater Accra,Osu
Laptop,Cooling,150,Brand New,Greater Accra,Accra Metropolitan
Laptop Keyboard for HP Probook 4320S 4321S 4326S,4420S,120,Brand New,Western Region,Shama Ahanta East Metropolitan
Laptop Dell Latitude 5480 8GB Intel Core I5,SSD,2950,Used,Greater Accra,Tema Metropolitan
Laptop Dell G15 5511 16GB Intel Core I5,SSD,10000,Used,Greater Accra,Circle
Reliable and Affordable Harman Kardon 7,Bluetooth,3149,Brand New,Greater Accra,Adabraka
Fascinating Chigo Smart,TV,6799,Unknown,Greater Accra,Osu
Macbook Pro,"16""",400,Brand New,Greater Accra,Nii Boi Town
New Desktop Computer MSI Gaming 24 6QE 64GB Intel Core I9,SSD,26000,Brand New,Greater Accra,Accra Metropolitan
Ultra Fast Power Bank for,Laptop,1550,Brand New,Greater Accra,Kokomlemle
Laptop HP EliteBook X360 1030 G2 8GB Intel Core I5,SSD,4799,Used,Greater Accra,Adenta
64gb DDR4 3200mhz Laptop Ram or Memory,G-Skill,3300,Brand New,Greater Accra,East Legon
New,Multimedia,150,Brand New,Greater Accra,Adenta
New Laptop Dell XPS 13 16GB Intel Core I7,SSD,10999,Brand New,Greater Accra,Lapaz
Laptop Dell Latitude 7390 8GB Intel Core I5,SSD,4799,Used,Greater Accra,Adenta
Desktop Computer MSI Model 4GB Intel Core I3,HDD,500,Used,Volta Region,Ho West
Laptop Lenovo IdeaPad 300 8GB Intel Core i5,HDD,1900,Used,Greater Accra,Tema Metropolitan
Laptop Dell Latitude 5280 8GB Intel Core M,SSD,2500,Used,Ashanti,Kumasi Metropolitan
Desktop Computer Lenovo Ideacentre AIO 520S 8GB Intel Core I3,HDD,4000,Used,Greater Accra,Kokomlemle
Laptop Dell Latitude 7480 8GB Intel Core I5,SSD,3200,Used,Greater Accra,Kasoa
"Supports Bluetooth, Optical",Input,1399,Brand New,Greater Accra,Adabraka
Laptop Toshiba 4GB Intel,HDD,1350,Used,Greater Accra,Adenta
Laptop Lenovo IdeaPad 720S 8GB Intel Core I5,SSD,4500,Used,Greater Accra,Madina
Laptop Samsung NP200B4A 8GB Intel Core I7,HDD,2000,Used,Greater Accra,Lapaz
Laptop HP 4GB Intel Core I5,HDD,1700,Used,Greater Accra,Ablekuma
Chigo 55 Inch,Smart,6175,Unknown,Greater Accra,Accra Metropolitan
Original Dell Battery K5XWW for,2in1,499,Brand New,Greater Accra,East Legon
Laptop HP EliteBook 850 G5 16GB Intel Core I7,SSD,4150,Used,Central Region,Cape Coast Metropolitan
New Laptop Acer Swift 1 4GB Intel,SSD,3000,Brand New,Greater Accra,East Legon
Desktop Computer Lenovo 4GB Intel Core 2 Duo,HDD,800,Used,Greater Accra,Tema Metropolitan
New Laptop HP 250 G7 4GB Intel Core I3,HDD,6799,Brand New,Greater Accra,Accra Metropolitan
Desktop Computer Lenovo ThinkCentre M720 4GB Intel Core i3,HDD,800,Used,Central Region,Mfantsiman Municipal
Laptop Dell Precision 5530 8GB Intel Core I7,SSD,6300,Used,Greater Accra,Kokomlemle
Laptop Acer Aspire 5 8GB AMD A10,SSD,4500,Used,Greater Accra,Sowutwuom
Msi 1TB Nvme M.2,SSD,1200,Brand New,Greater Accra,Accra Metropolitan
Lenovo ThinkCentre M710e SFF 8GB Intel Core I5,HDD,1800,Used,Greater Accra,Kasoa
Laptop Lenovo ThinkPad T470s 8GB Intel Core I5,SSD,2750,Used,Greater Accra,Kasoa
Toshiba,Laptop,75,Brand New,Greater Accra,Ashaiman Municipal
Laptop Lenovo ThinkPad Yoga 16GB Intel Core I7,SSD,5000,Used,Greater Accra,Tema Metropolitan
New Laptop HP Envy 13 16GB Intel Core I5,SSD,9700,Brand New,Greater Accra,Tema Metropolitan
Laptop HP EliteBook 840 G3 8GB Intel Core I5,HDD+SSD,2450,Used,Greater Accra,Ablekuma
Lenovo Laptop Battery,"E430,",200,Brand New,Greater Accra,Kokomlemle
Laptop HP ProBook X360 11 G4 4GB Intel,SSD,1350,Used,Greater Accra,Abelemkpe
Apple,Laptop,250,Brand New,Greater Accra,Accra Metropolitan
Ugreen Type C to Displayport Adapter,-,560,Brand New,Greater Accra,Accra Metropolitan
Laptop Lenovo IdeaPad 1 16GB Intel Core I5,HDD+SSD,4499,Used,Western Region,Shama Ahanta East Metropolitan
Laptop Toshiba Satellite Pro C640 8GB Intel Core I7,HDD,2200,Used,Greater Accra,Spintex
170watt,LENOVO,450,Used,Greater Accra,Spintex
Omaya Khaki Multi,Fashionable,270,Unknown,Greater Accra,Circle
New Laptop Dell XPS 13 8GB Intel Core I5,SSD,6050,Brand New,Greater Accra,Burma Camp
Laptops Batteries/Battery,Unknown,220,Brand New,Greater Accra,Accra Metropolitan
Laptop Repairs With,Excellence,300,Used,Greater Accra,Abokobi
Laptop HP EliteBook 8570P 4GB Intel Core I5,HDD,2000,Used,Greater Accra,Circle
Laptop HP 8GB Intel Celeron,SSD,3900,Used,Greater Accra,Kokomlemle
"Brand Stylus Touchscreen Pens for Ios,",Android,199,Brand New,Greater Accra,Kasoa
New Laptop Microsoft Surface Laptop 8GB AMD,SSD,11000,Brand New,Greater Accra,Kokomlemle
Desktop Computer Apple iMac 8GB Intel Core I5,HDD,5500,Used,Greater Accra,Dansoman
New Laptop HP Pavilion 15 16GB Intel Core I7,SSD,10800,Brand New,Greater Accra,Achimota
Original Apple Laptop Type-C,Charger,400,Brand New,Greater Accra,Accra New Town
New Laptop Microsoft Surface Laptop 5 16GB Intel Core I7,SSD,13500,Brand New,Greater Accra,Okponglo
Laptop Lenovo ThinkPad X1 Carbon 8GB Intel Core I5,SSD,3000,Used,Greater Accra,Tema Metropolitan
HP Quality Office Jet Pro 202,Mobile,2999,Unknown,Greater Accra,Adabraka
Laptop HP ProBook 11 G2 EE 4GB Intel,HDD,1500,Used,Greater Accra,Adabraka
Laptop Dell Latitude E7450 4GB Intel Core I5,SSD,2100,Used,Western Region,Takoradi
New Desktop Computer Apple iMac M1 8GB Apple M1,SSD,25500,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell Latitude 3580 8GB Intel Core I5,SSD,2850,Used,Greater Accra,Tema Metropolitan
New Desktop Computer Dell 8GB Intel Core I5,HDD+SSD,1800,Brand New,Ashanti,Kumasi Metropolitan
New Laptop Dell G15 5535 16GB Intel Core I5,SSD,11300,Brand New,Ashanti,Kumasi Metropolitan
Laptop Acer Aspire 5 4GB Intel Core I3,HDD,1450,Used,Ashanti,Kumasi Metropolitan
Laptop HP EliteBook 2760P 8GB Intel Core I5,HDD,1250,Used,Greater Accra,Tema Metropolitan
Adjustable Laptop Study Table,or,370,Unknown,Greater Accra,Pokuase
New Laptop Dell XPS 15 (9530) 32GB Intel Core I9,SSD,39000,Brand New,Greater Accra,Sowutwuom
New Laptop Dell Latitude 12 7275 8GB Intel Core I7,SSD,3500,Brand New,Greater Accra,Accra Metropolitan
Laptop Lenovo ThinkPad T470s 1GB Intel eMMC,16,350,Used,Ashanti,Atwima Kwanwoma
X2 Wireless,Rechargeable,90,Brand New,Greater Accra,Circle
Wireless Bluetooth Electric Black,Spa3800b,749,Brand New,Greater Accra,Adabraka
Laptop HP 14z 8GB AMD Ryzen,SSD,3550,Used,Greater Accra,Kokomlemle
New Laptop HP ProBook 440 G6 8GB Intel Core I5,SSD,3600,Brand New,Ashanti,Kumasi Metropolitan
New Laptop HP Envy 13 16GB Intel Core I5,SSD,10000,Brand New,Greater Accra,Circle
360 Degrees Rotating Laptop Stand With,Cooling,489,Brand New,Greater Accra,Accra Metropolitan
Laptop Lenovo ThinkPad T430 4GB Intel Core I5,HDD+SSD,1400,Used,Ashanti,Kumasi Metropolitan
Laptop Acer 6GB Intel,HDD,1300,Used,Greater Accra,Lapaz
Laptop Lenovo ThinkPad T450 8GB Intel Core I5,SSD,1600,Used,Greater Accra,Lapaz
Hp Laptop Battery,for,200,Brand New,Greater Accra,Labadi
Server Dell PowerEdge T330 32GB Intel Xeon,HDD,7500,Unknown,Greater Accra,Adenta
Laptop Toshiba Satellite C55 6GB Intel Core I5,HDD,1500,Used,Greater Accra,Taifa-Burkina
Sony HT-S700RF Real 5.1ch Dolby,Audio,8499,Brand New,Greater Accra,Adabraka
Men's Leather Office,Laptop,180,Unknown,Greater Accra,Kwashieman
Desktop Computer Apple iMac 16GB Intel Core I5,SSD,9000,Used,Greater Accra,Accra Metropolitan
Genuine HIGH QUALITY Leather BACKPACK From,Uk,1400,Unknown,Greater Accra,Kokomlemle
MY2 TEC - Quality Universal,Laptop,250,Brand New,Greater Accra,Bubuashie
New Laptop HP 15 4GB Intel Celeron,SSD,3850,Brand New,Greater Accra,Accra Metropolitan
New Desktop Computer Asus ROG Strix GL12 8GB Intel Core,I5,7900,Brand New,Greater Accra,Darkuman
Siltron 2 Way Bass Reflex 6.5 Inches Wall,Mount,1500,Brand New,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 840 G3 8GB Intel Core I5,HDD,2550,Used,Brong Ahafo,Sunyani Municipal
New Laptop Dell XPS 13 16GB Intel Core I5,SSD,12000,Brand New,Ashanti,Kumasi Metropolitan
Laptop Asus A52JC 4GB Intel Core I3,HDD,1100,Used,Ashanti,Kumasi Metropolitan
Laptop Apple MacBook Pro 2020 32GB Intel Core I5,SSD,9399,Used,Greater Accra,Cantonments
New Laptop Toshiba Satellite L50 8GB Intel Core I7,HDD,2599,Brand New,Western Region,Shama Ahanta East Metropolitan
Laptop HP 15-dw0037wm 12GB Intel Core i7,SSD,4200,Used,Greater Accra,Spintex
Laptop HP Pavilion 15 4GB Intel Core I3,HDD,2350,Used,Greater Accra,Adenta
Laptop Apple MacBook Pro 2019 8GB Intel Core I5,SSD,8800,Used,Greater Accra,Kokomlemle
Laptop HP EliteBook 830 8GB Intel Core I5,SSD,2799,Used,Greater Accra,Weija
Bilatte Wireless,Phone,300,Brand New,Greater Accra,Accra Metropolitan
Laptop Lenovo ThinkPad T470s 8GB Intel Core I5,SSD,1950,Used,Ashanti,Kumasi Metropolitan
New Laptop Lenovo 8GB Intel Core I3,HDD+SSD,2000,Brand New,Ashanti,Kumasi Metropolitan
Laptop Dell Precision M6600 16GB Intel Core I7,HDD,2550,Used,Greater Accra,Tema Metropolitan
Laptop HP ProBook 4230S 8GB Intel Core I7,SSD,3400,Unknown,Ashanti,Kumasi Metropolitan
Laptop HP EliteBook 830 G6 8GB Intel Core I7,SSD,5500,Used,Greater Accra,Tema Metropolitan
Nvme M.2 Solid State Drive (SSD),-,550,Brand New,Greater Accra,East Legon
New Laptop HP Envy 15 8GB Intel Core I5,SSD,9850,Brand New,Greater Accra,Spintex
Desktop Computer Dell OptiPlex 390 8GB Intel Core I7,HDD,1350,Used,Greater Accra,Kasoa
Redragon 60% RGB Wired,Gaming,790,Brand New,Greater Accra,Pokuase
Laptop Dell Latitude 14 4GB Intel Core I5,HDD,2250,Used,Western Region,Shama Ahanta East Metropolitan
Original Dell Laptop Battery ( F3YGT ) Latitude,"E7280,",400,Brand New,Greater Accra,Accra New Town
New Laptop Dell Latitude 5420 16GB Intel Core I5,SSD,7000,Brand New,Greater Accra,Achimota
Laptop Sticker,Unknown,70,Brand New,Greater Accra,Labadi
LED HD,Mini,800,Used,Ashanti,Kumasi Metropolitan
New Laptop MSI Katana GF76 16GB Intel Core I9,SSD,29500,Brand New,Greater Accra,Kaneshie
Laptop HP Pavilion 15 256GB Intel Core I5,SSD,2500,Used,Greater Accra,Kokomlemle
New Laptop HP Victus 16 16GB Intel Core I7,SSD,22900,Brand New,Greater Accra,Accra Metropolitan
New Laptop HP Envy X360 8GB AMD Ryzen,SSD,9600,Brand New,Greater Accra,Spintex
Hard Disk,Drive,230,Used,Greater Accra,Adenta
New Laptop HP ProBook 11 G2 EE 4GB Intel,HDD,1490,Brand New,Greater Accra,Okponglo
Laptop Dell 8GB Intel Core I5,SSD,2800,Used,Greater Accra,Kokomlemle
